CODE_RPG;LIBELLE_RPG;CODE_GROUPE_RPG;LIBELLE_GROUPE_RPG;CODE_CPS;LIBELLE_CPS;PBS_RHONE_ALPES;PBS_PACA;SCORE_IQE_RHONE_ALPES;SCORE_IQE_PACA;NIVEAU_IQE_RHONE_ALPES;NIVEAU_IQE_PACA
TBT;Tubercule tropical;28;Divers;V0000_S0000TK;Légumes frais, melons, fraises, culture maraîchère;28966.08;40324.23;5;5;Tres haute valeur economique;Tres haute valeur economique
TOM;Tomate (en pleine terre);25;Légumes ou fleurs;V0000_S0000TK;Légumes frais, melons, fraises, culture maraîchère;28966.08;40324.23;5;5;Tres haute valeur economique;Tres haute valeur economique
RDI;Radis;25;Légumes ou fleurs;V0000_S0000TK;Légumes frais, melons, fraises, culture maraîchère;28966.08;40324.23;5;5;Tres haute valeur economique;Tres haute valeur economique
PVP;Poivron, piment et aubergine;25;Légumes ou fleurs;V0000_S0000TK;Légumes frais, melons, fraises, culture maraîchère;28966.08;40324.23;5;5;Tres haute valeur economique;Tres haute valeur economique
MLO;Melon et pastèque;25;Légumes ou fleurs;V0000_S0000TK;Légumes frais, melons, fraises, culture maraîchère;28966.08;40324.23;5;5;Tres haute valeur economique;Tres haute valeur economique
AGR;Agrume;20;Vergers;T0000T;Agrumeraies;27435.99;27435.99;5;5;Tres haute valeur economique;Tres haute valeur economique
PFR;Petit fruit à baie (hors fraise);20;Vergers;F3000T;Baies ;22395.46;37243.51;5;5;Tres haute valeur economique;Tres haute valeur economique
TCR;Taillis à courte rotation;28;Divers;PECR9_H9000T;Autres cultures permanentes;20448.0;20448.0;5;5;Tres haute valeur economique;Tres haute valeur economique
PWT;Poire;20;Vergers;F1100T;fruits à pépins;20070.61;29897.16;5;5;Tres haute valeur economique;Tres haute valeur economique
PRU;Prune (y compris mirabelle, quetsche, reine-claude, );20;Vergers;F1200T;fruits à noyaux;18768.32;31709.56;5;5;Tres haute valeur economique;Tres haute valeur economique
CBT;Cerise;20;Vergers;F1200T;fruits à noyaux;18768.32;31709.56;5;5;Tres haute valeur economique;Tres haute valeur economique
PVT;Pêche (y compris nectarine, brugnon);20;Vergers;F1200T;fruits à noyaux;18768.32;31709.56;5;5;Tres haute valeur economique;Tres haute valeur economique
PTC;Pomme de terre;25;Légumes ou fleurs;R1000T;Pommes de terre (y c les primeurs et les plants);14636.65;19695.58;4;5;Haute valeur economique;Tres haute valeur economique
VRC;Vigne (sauf vigne rouge);21;Vignes;W1100T;Raisins pour le vin;13156.25;11167.67;4;4;Haute valeur economique;Haute valeur economique
VRG;Autre verger (y compris verger DOM);20;Vergers;F0000T;Fruits;10526.06;29700.21;4;5;Haute valeur economique;Tres haute valeur economique
CID;Cultures conduites en inter-rangs (bandes de cultures différentes)  - 2 cultures représentant chacune plus de 25  %;28;Divers;ARA99T_ARA09S;Autres cultures de terres arables;5566.02;3635.72;3;2;Valeur economique moyenne;Faible valeur economique
OLI;Olive;23;Oliviers;O1000T;Olives;4764.36;4764.36;3;3;Valeur economique moyenne;Valeur economique moyenne
CTG;Châtaigne;22;Fruits à coque;F4000T;Fruits à coque;4032.03;3359.97;3;2;Valeur economique moyenne;Faible valeur economique
NOX;Noix (y compris noix de coco);22;Fruits à coque;F4000T;Fruits à coque;4032.03;3359.97;3;2;Valeur economique moyenne;Faible valeur economique
TRU;Truffière (chênaie de plants mycorhizés);28;Divers;F4000T;Fruits à coque;4032.03;3359.97;3;2;Valeur economique moyenne;Faible valeur economique
NOS;Noisette;22;Fruits à coque;F4000T;Fruits à coque;4032.03;3359.97;3;2;Valeur economique moyenne;Faible valeur economique
